,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
5546,Potato soup,"Potato soup, NS as to made with milk or water",71801000,0,3,0,7.67,3,8.4,0.7,3,0,0.244,1.6,24,0.049,1.4,1.96,0.027,88.15,0.329,0.183,0.782,1.45,41,0.103,0.17,10,47,123,315,0.18,24,0.13,0.029,0.1,0.04,0.6
5549,Potato and cheese soup,Potato and cheese soup,71801100,77,200,0,8.54,7,8.5,1.0,15,0,0.55,2.74,36,0.086,2.2,1.54,0.05,83.96,1.072,0.504,1.324,3.36,60,0.052,0.4,13,61,203,309,0.39,56,0.1,0.118,5.9,0.24,4.1
5550,Potato chowder,Potato chowder,71803010,1,7,6,8.59,12,18.3,0.6,38,0,0.58,3.92,50,0.117,2.8,4.13,0.062,81.32,1.498,0.456,2.129,4.57,97,0.031,0.22,16,102,232,312,0.49,51,0.36,0.12,3.6,0.08,0.8
5551,Plantain soup,"Plantain soup, Puerto Rican style",71851010,92,96,0,7.15,0,8.2,0.4,6,0,1.542,2.33,0,0.054,1.6,3.89,0.017,87.9,0.161,0.018,0.196,0.47,11,0.016,0.43,12,30,205,665,0.04,12,0.12,0.072,3.9,0.0,6.4
5552,Plantain,"Plantain, cooked, no added fat",71900100,415,433,0,31.8,0,13.5,1.7,28,0,0.636,1.3,0,0.072,1.5,17.46,0.056,65.01,0.0,0.0,0.0,0.35,3,0.074,0.55,36,32,486,120,0.19,53,0.0,0.217,15.6,0.0,28.7
5554,Ripe plantain,"Ripe plantain, raw",71905000,438,457,0,31.89,0,13.5,1.7,30,0,0.672,1.3,0,0.076,1.5,17.51,0.062,65.2,0.0,0.0,0.0,0.35,3,0.074,0.55,36,32,487,4,0.19,56,0.0,0.242,18.4,0.0,28.8
5557,Plantain chips,Plantain chips,71905410,441,611,0,63.84,0,0.0,3.5,16,36,0.802,2.28,0,0.04,0.4,0.92,0.065,2.09,5.632,11.739,8.337,29.59,9,0.198,0.97,71,78,786,202,0.37,69,0.0,0.46,32.1,5.04,28.6
5558,Green banana,"Green banana, cooked in salt water",71910110,415,433,0,31.8,0,13.5,1.7,28,0,0.636,1.3,0,0.072,1.5,17.46,0.056,65.01,0.0,0.0,0.0,0.35,3,0.074,0.55,36,32,486,120,0.19,53,0.0,0.217,15.6,0.0,28.7
5560,Cassava,"Cassava, cooked",71930120,0,13,0,39.62,2,24.9,1.9,0,0,0.845,1.42,11,0.048,0.7,1.77,0.082,54.95,1.08,0.884,0.852,3.02,17,0.104,0.28,22,28,282,146,0.36,13,0.0,0.1,18.2,0.52,4.5
5561,Yuca fries,Yuca fries,71930190,0,7,0,34.72,0,21.6,1.6,0,0,0.74,1.24,0,0.042,0.6,1.55,0.063,49.18,5.799,5.68,1.939,13.94,15,0.091,0.27,19,25,247,154,0.31,1,0.0,0.076,15.0,1.78,17.9
5562,Casabe,"Casabe, cassava bread",71930200,0,14,0,71.22,0,44.3,3.4,0,0,1.518,2.54,0,0.085,1.3,3.18,0.147,21.57,0.14,0.09,0.138,0.52,31,0.187,0.5,39,51,507,1185,0.64,2,0.0,0.156,28.9,0.36,3.6
5563,Yam,"Yam, cooked, Puerto Rican",71945010,0,73,0,27.4,0,16.2,3.9,0,0,0.55,1.49,0,0.028,0.7,0.49,0.095,69.92,0.005,0.06,0.029,0.14,14,0.152,0.52,18,49,668,124,0.2,6,0.0,0.227,12.1,0.34,2.3
5564,Yam buns; Puerto Rican style,Yam buns; Puerto Rican style,71945020,0,93,1,29.77,35,38.8,3.5,47,0,0.929,3.47,56,0.111,6.4,0.73,0.135,46.31,8.082,7.111,3.071,19.0,25,0.145,1.02,19,74,588,274,0.37,64,0.1,0.211,9.1,2.44,22.8
5565,Tannier,"Tannier, cooked",71950010,0,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,0.089,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0.0,0.283,4.0,2.8,3.6
5566,Celeriac,"Celeriac, cooked",71961010,0,5,0,9.58,2,9.6,1.9,1,0,0.693,1.57,11,0.06,0.7,1.67,0.047,84.43,1.063,0.988,0.857,3.04,45,0.073,0.73,21,120,313,235,0.34,12,0.0,0.172,7.1,0.69,45.2
5567,Dasheen,"Dasheen, cooked",71962020,0,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,0.089,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0.0,0.283,4.0,2.8,3.6
5568,Taro,"Taro, cooked",71962040,0,40,20,27.55,2,18.3,4.3,0,0,0.594,1.57,11,0.025,0.7,0.42,0.089,66.36,1.019,0.92,0.818,2.94,45,0.179,0.57,34,88,616,143,0.24,15,0.0,0.283,4.0,2.8,3.6
5569,Fufu,Fufu,71970200,0,27,10,33.59,2,21.6,3.1,0,0,0.719,1.5,11,0.037,0.7,1.09,0.085,60.65,1.05,0.902,0.835,2.98,31,0.142,0.43,28,58,449,144,0.3,14,0.0,0.191,11.1,1.66,4.0
5570,Poi,Poi,71980100,0,36,20,28.45,0,18.6,4.4,0,0,0.613,1.61,0,0.026,0.8,0.43,0.092,68.43,0.017,0.089,0.044,0.22,46,0.185,0.59,35,90,635,12,0.25,4,0.0,0.274,4.1,2.56,1.1
5571,Taro chips,Taro chips,71980200,0,66,37,68.1,0,44.3,7.2,0,0,0.515,2.3,0,0.029,1.8,3.82,0.174,2.0,4.43,12.88,6.43,24.9,60,0.28,1.2,84,131,755,342,0.38,7,0.0,0.438,5.0,11.34,18.0
5572,Beet greens,"Beet greens, raw",72101100,3,3794,0,4.33,0,0.4,3.7,1503,0,0.4,2.2,0,0.22,0.9,0.5,0.1,91.02,0.026,0.046,0.02,0.13,117,0.191,2.57,70,41,762,226,0.38,316,0.0,0.106,30.0,1.5,400.0
5574,Broccoli raab,"Broccoli raab, raw",72103000,0,1573,0,2.85,0,18.3,2.7,1121,0,1.221,3.17,0,0.129,1.0,0.38,0.162,92.55,0.044,0.218,0.083,0.49,108,0.042,2.14,22,73,196,33,0.77,131,0.0,0.171,20.2,1.62,224.0
5576,Chard,"Chard, raw",72104100,45,3647,0,3.74,0,18.0,1.6,11000,0,0.4,1.8,0,0.09,0.9,1.1,0.04,92.66,0.04,0.07,0.03,0.2,51,0.179,1.8,81,46,379,213,0.36,306,0.0,0.099,30.0,1.89,830.0
5578,Collards,"Collards, raw",72107100,14,2991,28,5.42,0,23.2,4.0,4323,0,0.742,3.02,0,0.13,1.3,0.46,0.054,89.62,0.03,0.201,0.055,0.61,232,0.046,0.47,27,25,213,17,0.21,251,0.0,0.165,35.3,2.26,437.1
5592,Cress,"Cress, raw",72110100,0,4150,0,5.5,0,19.5,1.1,12500,0,1.0,2.6,0,0.26,0.9,4.4,0.08,89.4,0.239,0.228,0.023,0.7,81,0.17,1.3,38,76,606,14,0.23,346,0.0,0.247,69.0,0.7,541.9
5594,Dandelion greens,"Dandelion greens, raw",72113100,363,5854,121,9.2,0,35.3,3.5,13610,0,0.806,2.7,0,0.26,0.5,0.71,0.19,85.6,0.014,0.306,0.17,0.7,187,0.171,3.1,36,66,397,76,0.41,508,0.0,0.251,35.0,3.44,778.4
5596,Romaine lettuce,"Romaine lettuce, raw",72116000,0,4443,0,2.87,0,13.6,1.3,1730,0,0.375,1.36,0,0.08,0.6,0.78,0.07,94.98,0.006,0.082,0.02,0.15,36,0.029,0.86,13,29,194,28,0.18,370,0.0,0.09,9.2,0.22,126.3
5597,Caesar salad,"Caesar salad, with romaine, no dressing",72116150,0,4524,0,6.78,8,10.5,1.8,2000,0,0.496,4.23,21,0.112,4.8,1.23,0.094,84.12,1.015,0.353,1.666,3.57,114,0.053,0.99,17,89,244,225,0.65,398,0.13,0.078,4.0,0.18,88.7
5598,Escarole,"Escarole, cooked",72116220,0,1102,0,2.98,2,15.1,2.7,0,0,0.302,1.12,10,0.06,0.2,0.22,0.057,91.61,0.936,0.854,0.762,2.71,45,0.084,0.7,13,22,238,140,0.67,102,0.0,0.032,3.2,0.68,207.5
5599,Greens,"Greens, fresh, cooked, no added fat",72118211,7,3026,26,5.16,0,10.2,4.2,5533,0,0.906,2.97,0,0.212,1.1,0.74,0.077,89.1,0.069,0.388,0.106,0.97,235,0.085,1.14,31,43,302,159,0.3,254,0.0,0.163,46.6,1.66,418.9
5606,Kale,"Kale, raw",72119190,0,2870,27,4.42,0,0.5,4.1,6260,0,1.18,2.92,0,0.347,0.9,0.8,0.113,89.6,0.104,0.673,0.178,1.49,254,0.053,1.6,33,55,348,53,0.39,241,0.0,0.147,93.4,0.66,390.0
5614,Lambsquarter,"Lambsquarter, cooked",72120220,4,4543,0,4.85,2,0.7,2.0,1798,0,0.872,3.11,10,0.252,0.9,0.6,0.097,86.39,1.059,1.072,0.771,3.21,250,0.191,0.68,22,44,279,150,0.29,389,0.0,0.185,35.8,2.09,480.8
5615,Mustard cabbage,"Mustard cabbage, cooked",72121211,1,2656,0,2.28,2,6.9,1.0,40,0,0.495,1.57,11,0.07,0.5,1.23,0.038,92.05,1.018,0.934,0.803,2.94,110,0.022,0.84,20,39,263,199,0.2,232,0.0,0.209,32.8,0.41,49.9
5616,Mustard greens,"Mustard greens, raw",72122100,10,1790,40,4.67,0,0.5,3.2,3730,0,0.8,2.86,0,0.11,0.9,1.32,0.08,90.7,0.092,0.038,0.01,0.42,115,0.165,1.64,32,58,384,20,0.25,151,0.0,0.18,70.0,2.01,257.5
5624,Poke greens,"Poke greens, cooked",72123020,0,5058,0,3.01,2,0.5,1.5,1691,0,1.065,2.24,10,0.242,0.9,1.55,0.068,90.26,0.945,0.946,0.81,2.92,52,0.122,1.16,14,32,178,139,0.18,432,0.0,0.124,79.4,1.12,106.9
5625,Radicchio,"Radicchio, raw",72124100,0,16,0,4.48,0,10.9,0.9,8832,0,0.255,1.43,0,0.028,0.9,0.6,0.016,93.14,0.01,0.11,0.06,0.25,19,0.341,0.57,13,40,302,22,0.62,1,0.0,0.057,8.0,2.26,255.2
5626,Spinach,"Spinach, raw",72125100,0,5626,0,3.63,0,19.3,2.2,12198,0,0.724,2.86,0,0.189,1.0,0.42,0.078,91.4,0.01,0.165,0.063,0.39,99,0.13,2.71,79,49,558,79,0.53,469,0.0,0.195,28.1,2.03,482.9
5641,Spinach souffle,Spinach souffle,72125240,0,1787,2,7.1,100,78.7,1.1,3923,0,0.418,5.7,99,0.236,10.6,2.45,0.081,77.53,2.397,0.642,4.451,8.49,102,0.05,0.96,29,99,175,168,0.57,247,0.38,0.083,0.6,1.26,133.0
5642,Spinach and cheese casserole,Spinach and cheese casserole,72125260,0,4519,1,9.91,18,20.5,2.8,9766,0,0.818,7.02,50,0.216,8.5,1.05,0.129,73.61,1.827,0.783,3.887,7.44,244,0.13,1.75,63,131,250,308,0.89,426,0.19,0.109,1.1,2.45,355.2
5643,Palak Paneer,Palak Paneer,72125310,12,1942,0,4.31,7,13.4,1.2,4091,313,0.369,5.22,15,0.128,3.9,1.89,0.042,82.03,2.461,2.164,1.519,6.99,70,0.07,1.15,33,79,269,221,0.38,178,0.08,0.102,8.8,1.42,178.0
5644,Channa Saag,Channa Saag,72125500,6,4022,10,9.54,0,23.7,3.4,8618,0,0.665,4.07,0,0.151,1.6,1.81,0.081,80.2,1.536,1.727,0.563,4.17,90,0.175,2.81,71,75,501,250,0.74,336,0.0,0.188,15.0,2.08,364.0
5645,Taro leaves,"Taro leaves, cooked",72126001,0,2868,0,6.98,2,13.6,3.9,1911,0,1.497,5.19,11,0.451,0.9,3.13,0.196,81.99,1.065,1.153,0.932,3.5,112,0.281,2.35,47,63,675,134,0.43,250,0.0,0.162,37.9,2.42,115.6
5646,Thistle leaves,"Thistle leaves, cooked",72127001,0,4109,0,5.73,2,20.5,1.1,12361,0,0.989,2.72,11,0.258,0.9,4.58,0.075,85.89,1.251,1.071,0.799,3.46,85,0.177,1.36,40,79,631,146,0.24,354,0.0,0.262,50.3,1.05,566.6
5647,Turnip greens,"Turnip greens, fresh, cooked, no added fat",72128211,0,4561,0,4.35,0,0.3,3.5,8415,0,0.41,1.14,0,0.072,0.9,0.53,0.045,92.92,0.015,0.091,0.053,0.23,137,0.252,0.8,22,29,202,145,0.14,380,0.0,0.179,27.3,1.87,366.5
5650,Turrnip greens,"Turrnip greens, NS as to form, cooked",72128220,0,4434,0,4.23,2,0.5,3.4,8170,0,0.398,1.11,10,0.07,0.9,0.51,0.044,90.55,0.947,0.863,0.772,2.76,133,0.245,0.78,21,28,197,150,0.14,380,0.0,0.191,26.5,2.12,358.2
5656,Watercress,"Watercress, raw",72130100,0,1914,0,1.29,0,9.0,0.5,5767,0,0.2,2.3,0,0.12,0.9,0.2,0.09,95.11,0.008,0.035,0.027,0.1,120,0.077,0.2,21,60,330,41,0.11,160,0.0,0.129,43.0,1.0,250.0
5658,Bitter melon,"Bitter melon, horseradish, jute, or radish leaves, cooked",72132201,0,1409,0,6.47,2,20.6,1.8,2554,0,0.964,3.49,10,0.273,0.9,1.01,0.142,86.19,0.937,0.856,0.752,2.73,41,0.195,0.99,91,75,583,135,0.29,128,0.0,0.752,53.8,1.7,160.2
5659,Sweet potato,"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",72133201,32,1675,44,7.15,2,20.6,1.8,11083,0,0.971,2.12,10,0.259,0.9,5.3,0.109,86.68,0.944,0.905,0.784,2.87,32,0.032,0.61,46,39,302,129,0.25,153,0.0,0.171,1.5,1.23,107.5
5660,Broccoli,"Broccoli, raw",72201100,25,361,1,6.64,0,18.7,2.6,1403,0,0.639,2.82,0,0.117,2.5,1.7,0.071,89.3,0.031,0.112,0.114,0.37,47,0.049,0.73,21,66,316,33,0.41,31,0.0,0.175,89.2,0.78,101.6
5671,Broccoli casserole with noodles,Broccoli casserole with noodles,72202010,13,192,1,16.02,17,19.2,2.0,734,0,1.234,3.72,29,0.127,10.0,1.49,0.155,75.34,0.932,0.444,1.966,3.79,42,0.071,1.1,20,70,197,186,0.5,45,0.05,0.106,41.1,0.55,55.7
5672,Broccoli casserole with rice,Broccoli casserole with rice,72202020,9,302,1,15.09,7,11.5,1.9,542,0,1.008,4.13,23,0.087,5.2,1.22,0.12,76.16,0.818,0.567,1.683,3.5,79,0.053,0.92,14,77,105,186,0.52,49,0.05,0.101,19.8,0.79,46.2
5673,Fried broccoli,Fried broccoli,72202030,9,135,1,22.34,10,17.9,1.8,542,0,1.808,4.25,4,0.18,10.2,1.01,0.238,59.23,5.171,5.191,1.845,12.78,42,0.066,1.59,15,65,160,328,0.41,16,0.04,0.081,29.9,1.75,54.5
5676,Broccoli soup,"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",72302000,0,219,0,6.28,6,18.2,0.9,270,0,0.179,2.72,44,0.088,1.7,3.51,0.038,85.87,1.213,0.882,1.382,3.65,83,0.016,0.15,13,72,182,350,0.34,62,0.29,0.062,1.0,0.38,26.0
5678,Broccoli cheese soup,"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",72302100,0,219,0,6.28,6,17.3,0.9,270,0,0.179,2.72,44,0.088,1.7,3.51,0.036,85.87,1.213,0.882,1.382,3.65,83,0.016,0.15,13,72,182,350,0.34,62,0.23,0.059,1.0,0.38,26.0
5679,Watercress broth with shrimp,Watercress broth with shrimp,72306000,0,124,0,1.38,38,34.1,0.1,358,0,1.745,6.25,17,0.042,9.8,0.17,0.014,88.9,0.583,0.745,0.354,1.86,54,0.104,0.33,11,90,145,261,0.42,28,0.39,0.075,2.5,0.73,21.2
5680,Spinach soup,Spinach soup,72307000,0,1918,0,2.88,2,13.7,0.8,4125,0,0.923,2.92,17,0.117,0.9,1.68,0.042,91.88,0.239,0.129,0.429,0.98,73,0.071,1.09,32,61,285,182,0.36,177,0.17,0.086,7.7,0.74,180.2
5681,Dark-green leafy vegetable soup with meat,"Dark-green leafy vegetable soup with meat, Asian style",72308000,154,492,0,5.56,15,26.3,1.0,176,11,1.251,6.46,0,0.09,9.9,0.85,0.153,83.34,1.324,0.819,0.898,3.32,29,0.084,0.68,11,56,189,270,0.8,48,0.1,0.112,5.9,0.28,19.2
5682,Dark-green leafy vegetable soup,"Dark-green leafy vegetable soup, meatless, Asian style",72308500,181,581,0,6.56,1,10.2,1.2,208,13,0.503,1.57,0,0.049,1.4,1.01,0.041,88.52,0.681,0.819,0.343,1.98,31,0.082,0.56,8,27,141,308,0.42,56,0.0,0.051,6.8,0.29,22.6
5683,Carrots,"Carrots, raw",73101010,3477,8285,0,9.58,0,8.8,2.8,256,1,0.983,0.93,0,0.058,0.1,4.74,0.066,88.29,0.012,0.102,0.032,0.24,33,0.045,0.3,12,35,320,69,0.24,835,0.0,0.138,5.9,0.66,13.2
5705,Beet juice,Beet juice,73105000,0,12,0,5.91,0,6.2,1.1,0,0,0.136,0.72,0,0.034,0.4,4.84,0.009,92.45,0.012,0.022,0.01,0.06,12,0.088,0.57,14,14,128,19,0.21,1,0.0,0.05,2.5,0.03,0.1
5706,Carrot juice,"Carrot juice, 100%",73105010,4342,9303,0,9.28,0,9.9,0.8,333,2,0.386,0.95,0,0.055,0.6,3.91,0.092,88.87,0.007,0.071,0.027,0.15,24,0.046,0.46,14,42,292,66,0.18,956,0.0,0.217,8.5,1.16,15.5
5707,Peas and carrots,"Peas and carrots, fresh, cooked, no added fat",73111211,1726,4309,0,12.48,0,19.3,4.4,1348,0,1.516,3.3,0,0.094,1.0,5.41,0.155,82.63,0.024,0.15,0.053,0.33,30,0.115,0.92,23,74,293,159,0.77,431,0.0,0.143,20.3,0.41,19.7
5714,Pumpkin,"Pumpkin, canned, cooked",73201013,4655,6743,0,7.86,2,9.7,2.8,0,0,0.357,1.08,10,0.053,0.4,3.2,0.022,87.68,0.971,0.792,0.865,2.82,26,0.104,1.35,22,34,200,15,0.17,766,0.0,0.071,3.7,1.33,17.9
5716,Calabaza,"Calabaza, cooked",73210010,3971,3071,0,6.77,2,8.8,0.5,1483,0,0.594,1.05,11,0.109,0.3,2.87,0.047,88.18,1.016,0.839,0.829,2.83,22,0.132,0.84,13,46,354,132,0.33,433,0.0,0.075,8.0,1.42,3.7
5717,Sweet potato and pumpkin casserole,"Sweet potato and pumpkin casserole, Puerto Rican style",73211110,1927,5356,1,39.82,33,33.4,2.2,763,0,0.791,2.99,40,0.139,4.8,27.63,0.074,48.57,1.761,1.027,3.795,7.04,34,0.189,1.2,26,79,377,204,0.54,566,0.07,0.156,4.6,1.12,4.7
5718,Winter squash,"Winter squash, raw",73302010,4016,3100,0,6.5,0,8.2,0.5,1500,0,0.6,1.0,0,0.11,0.3,2.76,0.05,91.6,0.013,0.005,0.052,0.1,21,0.127,0.8,12,44,340,1,0.32,426,0.0,0.061,9.0,1.06,1.1
5721,Squash fritter or cake,Squash fritter or cake,73304010,359,1470,1,35.66,58,51.0,2.8,826,0,2.327,6.96,35,0.298,18.0,3.1,0.249,33.81,8.461,5.856,5.509,21.28,133,0.116,2.45,21,132,239,353,0.67,172,0.2,0.144,4.5,1.42,13.0
5722,Squash,"Squash, winter, souffle",73305020,495,2028,2,12.07,66,50.6,2.1,1117,0,0.532,3.41,33,0.149,6.8,5.8,0.038,81.23,0.704,0.462,0.727,2.15,37,0.079,0.78,13,60,217,166,0.45,222,0.15,0.151,7.0,0.28,3.3
5747,Sweet potato fries,"Sweet potato fries, NFS",73410200,0,4980,0,34.05,0,24.9,5.5,8,0,0.667,2.07,0,0.088,0.4,12.34,0.084,44.47,7.551,6.681,2.416,18.1,50,0.169,0.75,25,56,391,140,0.36,415,0.0,0.169,6.8,2.55,15.7
5748,Sweet potato chips,Sweet potato chips,73410210,0,14134,0,56.54,0,36.4,8.8,0,0,2.078,2.92,0,0.16,2.1,8.78,0.088,4.49,9.109,12.163,2.926,32.19,59,0.41,2.11,65,144,920,227,0.53,1178,0.0,0.532,0.0,9.77,24.4
5756,Sweet potato tots,"Sweet potato tots, NFS",73420000,0,5100,0,34.87,0,25.5,5.6,8,0,0.683,2.12,0,0.09,0.4,12.64,0.086,45.67,6.503,5.632,2.072,15.6,51,0.173,0.77,25,58,401,295,0.37,425,0.0,0.173,7.0,2.26,12.6
5763,Carrot soup,"Carrot soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",73501000,1105,2664,0,5.01,3,8.2,1.0,114,0,0.471,1.6,17,0.087,0.8,3.27,0.046,91.65,0.136,0.059,0.35,0.76,50,0.024,0.18,8,44,169,209,0.24,285,0.14,0.062,2.4,0.26,14.3
5764,Carrot with rice soup,"Carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",73501010,1038,2502,0,10.12,3,8.1,1.0,107,0,0.726,1.98,16,0.084,1.7,3.08,0.074,86.18,0.142,0.068,0.341,0.75,49,0.037,0.44,10,49,166,197,0.3,267,0.13,0.069,2.2,0.26,13.4
5766,Tomatoes,"Tomatoes, raw",74101000,101,449,0,3.89,0,6.7,1.2,123,2573,0.594,0.88,0,0.019,0.0,2.63,0.037,94.52,0.031,0.083,0.028,0.2,10,0.059,0.27,11,24,237,5,0.17,42,0.0,0.08,13.7,0.54,7.9
5772,Fried green tomatoes,Fried green tomatoes,74205010,45,202,0,21.56,10,13.4,1.3,72,1155,1.835,3.56,4,0.145,9.2,1.58,0.23,60.86,5.174,5.186,1.813,12.72,29,0.074,1.43,12,51,147,317,0.33,23,0.04,0.055,6.2,1.7,18.2
5773,Tomato,"Tomato, green, pickled",74205020,61,273,0,9.09,0,6.4,0.9,0,0,0.394,1.0,0,0.032,0.4,8.19,0.047,86.63,0.025,0.067,0.023,0.18,12,0.076,0.43,8,23,169,955,0.06,25,0.0,0.064,18.4,0.32,8.4
5774,Sun-dried tomatoes,Sun-dried tomatoes,74206000,0,524,0,55.76,0,104.6,12.3,1419,45902,9.05,14.11,0,0.489,5.5,37.59,0.528,14.56,0.487,1.115,0.426,2.97,110,1.423,9.09,194,356,3427,107,1.99,44,0.0,0.332,39.2,0.01,43.0
5775,Tomato juice,"Tomato juice, 100%",74301100,0,270,0,3.53,0,6.8,0.4,60,9037,0.673,0.85,0,0.078,0.5,2.58,0.1,94.24,0.005,0.027,0.019,0.29,10,0.042,0.39,11,19,217,253,0.11,23,0.0,0.07,70.1,0.32,2.3
5777,Tomato juice cocktail,Tomato juice cocktail,74302000,93,377,0,3.87,0,8.1,0.5,278,7119,0.722,0.93,0,0.033,0.2,2.84,0.05,94.09,0.06,0.076,0.088,0.31,14,0.068,0.28,11,19,185,169,0.12,35,0.0,0.071,54.3,1.02,6.1
5778,Tomato and vegetable juice,"Tomato and vegetable juice, 100%",74303000,93,377,0,3.87,0,8.1,0.5,278,7119,0.722,0.93,0,0.033,0.2,2.84,0.05,94.09,0.06,0.076,0.088,0.31,14,0.068,0.28,11,19,185,169,0.12,35,0.0,0.071,54.3,1.02,6.1
5780,Ketchup,Ketchup,74401010,0,316,0,27.4,0,12.5,0.3,161,12062,1.434,1.04,0,0.166,0.7,21.27,0.011,68.51,0.015,0.041,0.014,0.1,15,0.085,0.35,13,26,281,907,0.17,26,0.0,0.158,4.1,1.46,3.0
5782,Tomato chili sauce,Tomato chili sauce,74402010,13,402,0,19.79,0,13.7,2.4,1,12819,1.6,2.5,0,0.07,1.1,13.33,0.09,68.0,0.038,0.154,0.045,0.3,20,0.13,0.8,12,52,370,1338,0.16,34,0.0,0.16,16.0,1.92,5.2
5783,Salsa,"Salsa, NFS",74402100,0,288,0,6.74,0,12.8,1.8,211,6310,1.12,1.44,0,0.032,0.9,3.81,0.035,89.3,0.018,0.078,0.021,0.19,28,0.065,0.42,15,32,258,656,0.2,24,0.0,0.176,1.9,1.22,4.2
5787,Taco sauce,Taco sauce,74402210,56,827,61,0.72,0,0.0,0.5,9,0,0.16,1.16,0,0.076,0.4,0.12,0.029,95.64,0.055,0.361,0.095,0.68,11,0.068,1.04,11,21,115,570,0.14,74,0.0,0.139,4.0,0.01,0.2
5788,Enchilada sauce,"Enchilada sauce, red",74402250,74,362,62,4.87,0,0.9,0.5,103,994,0.388,0.62,0,0.055,0.4,1.83,0.04,91.78,0.068,0.276,0.111,0.91,7,0.031,0.67,6,11,101,547,0.09,36,0.0,0.059,0.3,0.7,2.8
5790,Salsa verde or salsa,"Salsa verde or salsa, green",74402350,10,123,5,6.36,0,7.9,1.9,422,0,1.615,1.13,0,0.036,0.8,3.5,0.046,89.52,0.0,0.0,0.0,0.89,9,0.081,0.65,19,41,259,906,0.25,11,0.0,0.083,12.3,0.43,13.6
5791,Hot Thai sauce,Hot Thai sauce,74403000,50,735,54,16.58,0,0.0,0.5,8,0,0.142,1.03,0,0.07,0.5,16.07,0.026,76.16,0.049,0.321,0.085,0.66,12,0.061,0.94,10,18,103,2055,0.13,66,0.0,0.123,3.6,0.01,0.2
5792,Spaghetti sauce,Spaghetti sauce,74404010,0,390,0,8.05,2,13.7,1.8,190,12700,3.917,1.41,0,0.061,1.4,5.5,0.024,87.4,0.376,0.504,0.17,1.48,27,0.081,0.78,18,34,319,419,0.2,32,0.0,0.173,2.0,2.4,13.9
5793,Spaghetti sauce with added vegetables,Spaghetti sauce with added vegetables,74404020,2,392,22,7.43,2,13.3,1.8,266,9712,3.425,1.42,0,0.079,2.0,4.95,0.032,88.51,0.29,0.418,0.146,1.22,23,0.109,0.8,18,37,308,321,0.26,33,0.0,0.172,11.6,1.94,11.6
5796,Vodka sauce with tomatoes and cream,Vodka sauce with tomatoes and cream,74404090,0,202,1,3.44,15,7.4,1.3,68,4471,0.655,1.26,55,0.067,0.9,2.49,0.255,87.53,2.413,0.456,3.347,6.64,30,0.061,0.59,10,25,190,248,0.16,71,0.02,0.079,7.8,0.99,10.6
5797,Barbecue sauce,Barbecue sauce,74406010,0,133,2,40.77,0,7.1,0.9,88,4550,0.597,0.82,0,0.056,1.3,33.24,0.023,54.71,0.082,0.101,0.045,0.63,33,0.072,0.64,13,20,232,1027,0.17,11,0.0,0.075,0.6,0.8,1.8
5798,Buffalo sauce,Buffalo sauce,74406060,58,864,64,0.75,0,0.0,0.6,9,0,0.167,1.21,0,0.079,0.5,0.12,0.03,89.48,0.057,0.377,0.1,0.71,14,0.07,1.09,11,22,120,2917,0.15,77,0.0,0.145,4.2,0.01,0.2
5799,Steak sauce,Steak sauce,74406100,0,177,0,22.04,0,11.5,1.5,0,12564,0.913,1.25,0,0.054,0.8,9.82,0.034,71.0,0.0,0.0,0.0,0.23,19,0.189,1.37,17,33,312,1647,0.34,15,0.0,0.105,6.8,1.16,2.2
5800,Cocktail sauce,Cocktail sauce,74406500,7,212,0,28.22,0,11.0,1.8,2,6753,0.82,1.36,0,0.047,2.2,11.83,0.021,65.67,0.0,0.0,0.0,1.05,26,0.111,0.83,17,30,309,1262,0.38,18,0.0,0.08,11.6,1.08,4.4
