,Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
484,Milk dessert or milk candy,"Milk dessert or milk candy, Puerto Rican style",13252200,0,14,0,55.35,29,89.1,0.0,0,0,0.21,6.84,73,0.405,2.7,49.74,0.016,28.71,2.143,0.375,4.534,7.35,251,0.004,0.17,22,193,350,129,0.79,74,0.31,0.016,2.6,0.2,1.3
485,Barfi or Burfi,"Barfi or Burfi, Indian dessert",13252500,0,12,0,40.46,35,13.7,0.4,20,0,0.205,5.41,95,0.253,4.2,36.97,0.039,41.83,3.475,0.849,6.115,11.34,148,0.047,0.22,19,126,185,71,0.5,96,0.23,0.07,0.3,0.71,1.0
486,Trifle,Trifle,13252590,0,44,13,23.24,63,27.7,0.4,62,0,0.618,3.53,77,0.136,4.5,15.77,0.085,65.34,2.098,0.422,4.05,7.1,74,0.039,0.83,10,90,125,180,0.39,81,0.23,0.053,0.5,0.37,1.2
487,Tiramisu,Tiramisu,13252600,3,46,3,29.59,123,39.2,0.4,72,0,0.991,5.9,216,0.246,9.6,18.86,0.088,39.2,6.577,1.318,14.158,24.29,66,0.051,1.11,15,105,156,155,0.57,220,0.32,0.062,1.1,0.72,1.7
488,Custard pudding,"Custard pudding, flavor other than chocolate, baby food, NS as to strained or junior",13310000,1,2,1,16.79,23,29.9,0.1,39,0,0.058,1.68,16,0.067,2.4,11.85,0.012,79.6,0.522,0.144,0.668,1.49,54,0.03,0.23,5,50,67,13,0.29,16,0.12,0.025,0.6,0.16,0.0
491,White sauce or gravy,White sauce or gravy,13411000,0,40,0,9.19,22,17.4,0.2,1,0,0.426,3.81,131,0.159,3.9,4.61,0.086,75.53,2.805,1.398,4.971,9.96,121,0.01,0.28,13,105,156,331,0.45,135,0.43,0.174,0.1,0.96,4.9
492,Cheese,"Cheese, NFS",14010000,0,99,9,5.0,91,24.2,0.0,24,0,0.099,20.42,289,0.435,23.5,2.69,0.033,39.99,6.726,1.104,16.692,29.62,974,0.031,0.48,30,582,164,904,3.09,298,1.24,0.091,0.0,0.79,2.7
530,Queso Anejo,"Queso Anejo, aged Mexican cheese",14131000,0,4,0,4.63,105,15.4,0.0,0,0,0.032,21.44,64,0.209,14.5,4.63,0.02,38.06,8.528,0.901,19.033,29.98,680,0.008,0.47,28,444,87,1131,2.94,64,1.38,0.047,0.0,0.26,2.5
531,Queso Asadero,Queso Asadero,14131500,0,4,0,2.87,105,15.4,0.0,0,0,0.181,22.6,55,0.223,14.5,2.87,0.021,42.16,8.038,0.85,17.939,28.26,661,0.026,0.51,26,443,86,607,3.02,55,1.0,0.053,0.0,0.24,2.4
532,Queso Fresco,Queso Fresco,14133000,0,41,2,2.98,69,12.5,0.0,3,0,0.027,18.09,221,0.173,19.3,2.32,0.042,51.42,5.966,1.106,12.94,23.82,566,0.033,0.2,24,385,129,751,2.58,224,1.68,0.076,0.0,0.37,1.0
